parent_cell,parent_x,parent_y,parent_z,daughter1,daughter2,birth_time,cell_size,size_category,time_category,generation
ABalpaa,206.2655229,243.136808525,15.54148796375,ABalpaap,ABalpaaa,135.0,319.2217277145469,small,early,6
ABalpaa,210.375,253.0054348,15.6509058,ABalpaap,ABalpaaa,135.0,329.4151507075798,medium,early,6
ABalpap,243.4659609,232.3277582125,15.38144682625,ABalpapp,ABalpapa,135.0,336.8804688008418,medium,early,6
ABalppp,297.9082910375,231.8768665125,15.5921726875,ABalpppp,ABalpppa,135.0,377.8350790247729,medium,early,6
ABaraaa,238.68885635,264.2361982,14.79585569875,ABaraaaa,ABaraaap,135.0,356.3875081013907,medium,early,6
ABaraap,280.343927175,254.9510055125,14.70914243,ABaraapa,ABaraapp,135.0,379.2216918726598,medium,early,6
ABarapa,291.4656385625,271.4315708375,14.59540302,ABarapaa,ABarapap,135.0,398.5477912362266,medium,early,6
ABarapp,341.890843175,263.1233876125,14.53721085875,ABarappp,ABarappa,135.0,431.6649120036769,medium,early,6
ABarpaa,267.4234513,276.6945018,15.35788739625,ABarpaap,ABarpaaa,135.0,385.11169072988366,medium,early,6
ABarpap,309.9252427625,268.3152525375,14.86906399375,ABarpapp,ABarpapa,135.0,410.2046073725979,medium,early,6
ABarppa,325.632145275,278.2309833375,15.59762392,ABarppap,ABarppaa,135.0,428.59311706710906,medium,early,6
ABarppp,377.1299503125,276.469538,15.29821202375,ABarpppp,ABarpppa,135.0,467.86369826667016,medium,early,6
ABplaaa,242.5593308375,261.8637689625,15.97431541125,ABplaaaa,ABplaaap,135.0,357.2993719899875,medium,early,6
ABplaap,275.867215075,249.14910215,15.5849351025,ABplaapp,ABplaapa,135.0,372.04957419346226,medium,early,6
ABplapa,301.5548422625,263.7251874625,15.47604456,ABplapaa,ABplapap,135.0,400.90623012035513,medium,early,6
ABplapp,338.5804746875,249.6586411375,15.42439953125,ABplappa,ABplappp,135.0,420.9561580914757,medium,early,6
ABplpaa,322.1385309375,232.522523975,16.01252389625,ABplpaaa,ABplpaap,135.0,397.6133274826223,medium,early,6
ABplpap,371.7556097625,227.9442548125,15.63065621125,ABplpapa,ABplpapp,135.0,436.35436757927425,medium,early,6
ABpraaa,334.05210145,281.7111584375,14.92925855625,ABpraaap,ABpraaaa,135.0,437.23548121395487,medium,early,6
ABpraap,381.2574613625,275.5720264375,14.84231974875,ABpraapa,ABpraapp,135.0,470.65644376229733,medium,early,6
ABprapa,410.71077555,279.571275125,15.21380451625,ABprapaa,ABprapap,135.0,497.06629223450625,medium,early,6
ABprapp,459.6128062,273.757030175,15.13553026375,ABprappa,ABprappp,135.0,535.1784071406838,large,early,6
ABprpaa,422.8970806375,273.422023175,14.67746395125,ABprpaaa,ABprpaap,135.0,503.8025124161953,medium,early,6
ABprpap,457.2519570375,262.302041375,14.77928506,ABprpapa,ABprpapp,135.0,527.352008046808,large,early,6
P4,458.5687175625,237.6282943,15.21732716625,Z2,Z3,140.0,516.704985484878,large,early,4
ABalppa,252.17963785,236.3270006125,16.044508115,ABalppap,ABalppaa,140.0,345.98041448225075,medium,early,6
ABplppa,377.2385274375,239.3303456875,15.88335523125,ABplppaa,ABplppap,140.0,447.034900118004,medium,early,6
ABplppp,421.9675175625,233.5335466875,15.82439498625,ABplpppa,ABplpppp,140.0,482.54006546916116,medium,early,6
ABprppa,488.7970901,271.8132003375,14.917869115,ABprppaa,ABprppap,140.0,559.4886540287243,large,early,6
ABprppp,499.91637905,258.79575275,15.04657137125,ABprpppp,ABprpppa,140.0,563.1323352409561,large,early,6
MSaaa,259.524896675,241.6598735,14.92934753875,MSaaap,MSaaaa,145.0,354.93034791651473,medium,early,6
MSaap,312.1924971625,236.84831455,14.622213765,MSaapa,MSaapp,145.0,392.1416689477448,medium,early,6
ABalpppp,303.862777325,237.6834842,15.2210421925,ABalppppa,ABalppppp,148.0,386.0799220764271,medium,early,7
MSapa,323.4585615375,230.130234825,14.919577385,MSapap,MSapaa,150.0,397.2505000649657,medium,early,6
MSapp,365.7352499875,229.8028175375,15.06906041875,MSappa,MSappp,150.0,432.2021339761022,medium,early,6
MSpaa,320.3938388,249.52557385,14.5164197925,MSpaaa,MSpaap,150.0,406.3569248699526,medium,early,6
MSpap,371.519931075,239.5351075,14.5626457275,MSpapp,MSpapa,150.0,442.28519934720174,medium,early,6
ABalppap,250.56230335,234.3937964375,15.6673671925,ABalppapp,ABalppapa,153.0,343.4638060453914,medium,early,7
MSppa,396.05248445,255.7733215125,14.5488072575,MSppap,MSppaa,155.0,471.6876405304363,medium,early,6
MSppp,430.4009324625,245.639545,14.71864641375,MSpppp,MSpppa,155.0,495.78260082888096,medium,early,6
ABalapap,246.783036725,265.7180242625,15.55528159125,ABalapapp,ABalapapa,160.0,362.9736938382207,medium,mid,7
ABalappp,295.1480544875,261.1899236,15.0748818475,ABalapppa,ABalapppp,160.0,394.41070259394104,medium,mid,7
ABalppaa,218.3754602875,236.9113593375,15.664753975,ABalppaap,ABalppaaa,163.0,322.58366101837333,medium,mid,7
Da,463.00259315,236.2067770375,15.5706295225,Daa,Dap,165.0,520.0071992634281,large,mid,5
Dp,482.323181025,243.179955275,14.8597933,Dpp,Dpa,165.0,540.3637247803971,large,mid,5
Eal,371.7831744875,242.277175775,15.0777837375,Eala,Ealp,165.0,444.0138492163819,medium,mid,5
Ear,369.1362151875,257.102365675,14.5560316025,Eara,Earp,165.0,450.08338100250563,medium,mid,5
Caaa,384.20487165,260.3205223,15.35676516625,Caaap,Caaaa,165.0,464.3446865923084,medium,mid,6
ABalpaap,216.605691525,243.896963325,15.329843355,ABalpaapp,ABalpaapa,165.0,326.55590396970115,medium,mid,7
ABalpapa,217.2526570125,237.4380341,15.14316014875,ABalpapaa,ABalpapap,165.0,322.1876042239279,medium,mid,7
ABalpapp,260.828805375,233.1001325375,15.1209081075,ABalpappa,ABalpappp,165.0,350.1370865308974,medium,mid,7
ABalpppa,264.4252732875,240.2717943625,15.466516485,ABalpppap,ABalpppaa,165.0,357.61777563695756,medium,mid,7
ABpraaap,336.8476804625,282.134031275,15.0163246025,ABpraaapp,ABpraaapa,165.0,439.6492481979434,medium,mid,7
ABprpapa,413.1438772,270.64072515,14.653198175,ABprpapaa,ABprpapap,165.0,494.1143406078419,medium,mid,7
ABprpapp,448.7854097375,263.7149042625,14.72059524,ABprpappa,ABprpappp,165.0,520.7404254018072,large,mid,7
Epl,416.992742075,245.7332712625,15.04448888875,Eplp,Epla,170.0,484.2459335859421,medium,mid,5
Epr,448.9758524625,256.869949475,14.81277038,Epra,Eprp,170.0,517.4755116950446,large,mid,5
Cpaa,457.101685,270.3026369375,15.54642785125,Cpaap,Cpaaa,170.0,531.2693830667632,large,mid,6
ABalaaap,0.0,0.0,0.0,ABalaaapp,ABalaaapa,170.0,0.0,small,mid,7
ABalaapp,270.509678228571,261.562959657143,14.7994507657143,ABalaappa,ABalaappp,170.0,376.5762759692862,medium,mid,7
ABalapaa,216.6417442,260.91514075,15.39571739625,ABalapaaa,ABalapaap,170.0,339.48105118954095,medium,mid,7
ABalappa,252.769303975,263.4639287375,15.168961145,ABalappaa,ABalappap,170.0,365.4253140657102,medium,mid,7
ABarpaap,289.5477937875,275.30040155,15.3313288025,ABarpaapp,ABarpaapa,170.0,399.8290705084489,medium,mid,7
ABplaaaa,222.8310957375,256.231333725,15.83384069125,ABplaaaaa,ABplaaaap,170.0,339.939559511839,medium,mid,7
ABplaaap,265.7132320625,259.1430499625,15.76765557625,ABplaaapa,ABplaaapp,170.0,371.4932852681701,medium,mid,7
ABplaapa,250.270460775,245.14303625,15.91986544,ABplaapaa,ABplaapap,170.0,350.6905386149266,medium,mid,7
ABplaapp,297.15491685,244.1556152375,15.54325770875,ABplaappa,ABplaappp,170.0,384.9085630644415,medium,mid,7
ABplapap,337.23826315,256.05576955,15.431010805,ABplapapa,ABplapapp,170.0,423.71254329643745,medium,mid,7
ABplappa,341.7497561,243.356487425,15.49504072375,ABplappaa,ABplappap,170.0,419.8277885672581,medium,mid,7
ABplpapa,313.8273015125,225.9452955375,15.58783495375,ABplpapap,ABplpapaa,170.0,387.0165789067584,medium,mid,7
ABplpapp,358.3766306125,226.01833075,15.43176649625,ABplpappp,ABplpappa,170.0,423.9766911298066,medium,mid,7
ABplpppa,391.4513956875,228.4018054375,15.55431284875,ABplpppaa,ABplpppap,170.0,453.47934524187326,medium,mid,7
ABplpppp,423.408082175,230.3263811875,15.815061995,ABplppppp,ABplppppa,170.0,482.26005651302575,medium,mid,7
ABpraaaa,302.3320770125,279.5323647375,14.87795479125,ABpraaaap,ABpraaaaa,170.0,412.024733802719,medium,mid,7
ABpraapa,361.5723653875,283.07734075,14.86623117875,ABpraapaa,ABpraapap,170.0,459.44353416656486,medium,mid,7
ABpraapp,400.040120675,279.5746374,14.9008463275,ABpraappa,ABpraappp,170.0,488.27872291170524,medium,mid,7
ABprapap,437.497527114286,281.358785571429,15.3457970514286,ABprapapp,ABprapapa,170.0,520.3867272870134,large,mid,7
