source_id,target_id,source_name,target_name,type,timepoints_present,first_appearance,last_appearance,timepoint_list
19,66,AIYR,BAGL,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
20,155,AIZL,RIAR,chemical,5,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(8)]"
20,156,AIZL,RIBL,chemical,4,1,4,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4)]"
21,5,AIZR,ADFR,chemical,2,1,4,"[np.int64(1), np.int64(4)]"
21,11,AIZR,AIAR,chemical,6,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
21,31,AIZR,ASGR,electrical,4,1,8,"[np.int64(1), np.int64(5), np.int64(7), np.int64(8)]"
21,49,AIZR,AVER,chemical,5,1,8,"[np.int64(1), np.int64(3), np.int64(6), np.int64(7), np.int64(8)]"
22,126,ALA,IL1L,chemical,2,1,4,"[np.int64(1), np.int64(4)]"
23,152,ALML,PVR,chemical,4,1,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7)]"
24,47,ALMR,AVDR,electrical,5,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
24,152,ALMR,PVR,chemical,3,1,7,"[np.int64(1), np.int64(3), np.int64(7)]"
28,9,ASEL,AFDR,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
28,65,ASEL,AWCR,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(8)]"
29,21,ASER,AIZR,chemical,5,1,7,"[np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(7)]"
29,35,ASER,ASIR,chemical,3,1,8,"[np.int64(1), np.int64(7), np.int64(8)]"
30,14,ASGL,AIML,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(8)]"
31,15,ASGR,AIMR,chemical,6,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7)]"
32,33,ASHL,ASHR,electrical,5,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(8)]"
32,186,ASHL,RMGL,electrical,5,1,7,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(7)]"
32,206,ASHL,SMBVL,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
33,39,ASHR,ASKR,electrical,3,1,5,"[np.int64(1), np.int64(4), np.int64(5)]"
33,46,ASHR,AVDL,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
33,52,ASHR,AVHL,chemical,5,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
33,159,ASHR,RICR,electrical,4,1,8,"[np.int64(1), np.int64(5), np.int64(7), np.int64(8)]"
33,187,ASHR,RMGR,electrical,6,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8)]"
34,65,ASIL,AWCR,chemical,6,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
34,67,ASIL,BAGR,chemical,3,1,7,"[np.int64(1), np.int64(6), np.int64(7)]"
35,11,ASIR,AIAR,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
35,13,ASIR,AIBR,chemical,5,1,8,"[np.int64(1), np.int64(4), np.int64(6), np.int64(7), np.int64(8)]"
35,110,ASIR,CEPshVR,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
40,218,AUAL,URXL,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
41,219,AUAR,URXR,electrical,6,1,7,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7)]"
48,221,AVEL,URYDR,electrical,3,1,5,"[np.int64(1), np.int64(2), np.int64(5)]"
52,7,AVHL,ADLR,chemical,3,1,8,"[np.int64(1), np.int64(2), np.int64(8)]"
53,20,AVHR,AIZL,chemical,6,1,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)]"
53,68,AVHR,BDUL,chemical,3,1,7,"[np.int64(1), np.int64(5), np.int64(7)]"
53,112,AVHR,DVA,chemical,6,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
53,161,AVHR,RIFL,chemical,2,1,7,"[np.int64(1), np.int64(7)]"
54,46,AVJL,AVDL,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
55,144,AVJR,PVCL,chemical,5,1,8,"[np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
55,145,AVJR,PVCR,chemical,2,1,7,"[np.int64(1), np.int64(7)]"
56,113,AVKL,DVC,chemical,2,1,7,"[np.int64(1), np.int64(7)]"
56,164,AVKL,RIGR,chemical,4,1,7,"[np.int64(1), np.int64(5), np.int64(6), np.int64(7)]"
56,176,AVKL,RMDL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
57,13,AVKR,AIBR,chemical,4,1,7,"[np.int64(1), np.int64(2), np.int64(4), np.int64(7)]"
57,48,AVKR,AVEL,chemical,4,1,8,"[np.int64(1), np.int64(5), np.int64(7), np.int64(8)]"
57,148,AVKR,PVPL,chemical,3,1,6,"[np.int64(1), np.int64(5), np.int64(6)]"
57,186,AVKR,RMGL,chemical,3,1,5,"[np.int64(1), np.int64(2), np.int64(5)]"
60,4,AWAL,ADFL,chemical,3,1,8,"[np.int64(1), np.int64(6), np.int64(8)]"
60,6,AWAL,ADLL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(7), np.int64(8)]"
60,10,AWAL,AIAL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
60,18,AWAL,AIYL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
60,61,AWAL,AWAR,electrical,3,1,7,"[np.int64(1), np.int64(4), np.int64(7)]"
60,150,AWAL,PVQL,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
61,7,AWAR,ADLR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(8)]"
61,39,AWAR,ASKR,chemical,2,1,7,"[np.int64(1), np.int64(7)]"
62,53,AWBL,AVHR,chemical,4,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(8)]"
62,63,AWBL,AWBR,electrical,6,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
63,11,AWBR,AIAR,chemical,4,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(8)]"
63,29,AWBR,ASER,chemical,3,1,5,"[np.int64(1), np.int64(4), np.int64(5)]"
63,52,AWBR,AVHL,chemical,4,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(8)]"
65,7,AWCR,ADLR,chemical,2,1,4,"[np.int64(1), np.int64(4)]"
68,54,BDUL,AVJL,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
68,161,BDUL,RIFL,chemical,3,1,5,"[np.int64(1), np.int64(3), np.int64(5)]"
69,24,BDUR,ALMR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
103,209,CEPDL,SMDDR,chemical,3,1,7,"[np.int64(1), np.int64(4), np.int64(7)]"
103,220,CEPDL,URYDL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(8)]"
104,203,CEPDR,SIBVR,chemical,3,1,7,"[np.int64(1), np.int64(5), np.int64(7)]"
104,208,CEPDR,SMDDL,chemical,3,1,8,"[np.int64(1), np.int64(4), np.int64(8)]"
105,211,CEPVL,SMDVR,chemical,4,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(8)]"
