timepoint,time_hours,stage,num_edges,num_chemical,num_electrical,total_synapses,connected_nodes,connection_density,avg_in_degree,avg_out_degree,max_edge_weight,avg_edge_weight
1,0,L1,858,775,83,1400.0,187,0.017023809523809524,4.959537572254336,5.876712328767123,9.0,1.6317016317016317
2,5,L1,1110,986,124,2028.0,194,0.022023809523809525,5.935828877005347,7.302631578947368,11.0,1.827027027027027
3,8,L1,1106,1012,94,2237.0,198,0.021944444444444444,5.821052631578947,7.472972972972973,14.0,2.022603978300181
4,16,L1,1345,1136,209,3020.0,204,0.026686507936507935,6.725,8.566878980891719,17.0,2.2453531598513012
5,23,L2,1807,1515,292,4535.0,211,0.0358531746031746,8.645933014354068,10.885542168674698,23.0,2.5096845600442723
6,27,L3,1739,1525,214,4723.0,216,0.03450396825396825,8.202830188679245,10.41317365269461,21.0,2.715928694652099
7,45,Adult,2493,2202,291,7867.0,222,0.04946428571428572,11.28054298642534,12.654822335025381,30.0,3.1556357801845167
8,45,Adult,2496,2186,310,8400.0,219,0.049523809523809526,11.44954128440367,14.101694915254237,51.0,3.3653846153846154
