timepoint,node,betweenness,degree_centrality,closeness,weighted_in_degree,weighted_out_degree,total_weighted_degree,node_type
5,IL2DL,0.0014227931412585174,0.04761904761904762,0.4085603112840467,2,22,24,sensory
5,IL2DR,0.0008099314220093922,0.05238095238095239,0.38181818181818183,1,24,25,sensory
5,IL2L,0.01587883314818999,0.08571428571428572,0.4166666666666667,7,21,28,sensory
5,IL2R,0.0050795373389214945,0.06666666666666668,0.40618955512572535,8,19,27,sensory
5,IL2VL,0.0009423790175477932,0.06190476190476191,0.41015625,3,27,30,sensory
5,IL2VR,0.0007938629988869615,0.05714285714285715,0.4093567251461988,2,19,21,sensory
5,OLLL,0.0017910958363971782,0.09523809523809525,0.43388429752066116,12,76,88,sensory
5,OLLR,0.011356348104245888,0.09523809523809525,0.445859872611465,19,55,74,sensory
5,OLQDL,0.003753480609435644,0.08095238095238096,0.43568464730290457,7,16,23,sensory
5,OLQDR,0.002785846326470979,0.07142857142857144,0.43121149897330596,10,11,21,sensory
5,OLQVL,0.003411205218798762,0.0761904761904762,0.4449152542372881,12,14,26,sensory
5,OLQVR,0.005232574028017209,0.08571428571428572,0.44025157232704404,14,17,31,sensory
5,PLNL,0.0,0.0,0.0,0,0,0,sensory
5,PLNR,0.0,0.0,0.0,0,0,0,sensory
5,PVCL,0.0035927693439748638,0.0761904761904762,0.4117647058823529,14,16,30,inter
5,PVCR,0.0024782921712128586,0.06190476190476191,0.3984819734345351,13,11,24,inter
5,PVNL,0.0,0.0,0.0,0,0,0,modulatory
5,PVNR,0.0,0.0,0.0,0,0,0,modulatory
5,PVPL,0.006642253966880537,0.0761904761904762,0.41749502982107356,6,21,27,inter
5,PVPR,0.004795419533689957,0.08095238095238096,0.41916167664670656,7,22,29,inter
5,PVQL,0.0064718584765409825,0.05238095238095239,0.36906854130052724,17,16,33,modulatory
5,PVQR,0.004210720996595374,0.05714285714285715,0.37037037037037035,11,18,29,modulatory
5,PVR,0.014330138558135187,0.10476190476190478,0.445859872611465,15,38,53,inter
5,PVT,0.004861825108504334,0.09523809523809525,0.445859872611465,3,41,44,inter
5,RIAL,0.027870317116981843,0.21904761904761907,0.5060240963855421,126,138,264,inter
5,RIAR,0.02096343009778797,0.19523809523809527,0.5035971223021583,112,144,256,inter
5,RIBL,0.03456106940107557,0.20952380952380956,0.5097087378640777,74,37,111,inter
5,RIBR,0.040350357091206594,0.2142857142857143,0.5147058823529411,74,42,116,inter
5,RICL,0.009563005112748296,0.13333333333333336,0.4805491990846682,23,25,48,modulatory
5,RICR,0.013311637392929105,0.1285714285714286,0.46770601336302897,24,31,55,modulatory
5,RID,0.0,0.02380952380952381,0.3626943005181347,5,0,5,modulatory
5,RIFL,0.00622459701924741,0.07142857142857144,0.4077669902912621,7,25,32,inter
5,RIFR,0.005998953989700564,0.05238095238095239,0.3925233644859813,5,20,25,inter
5,RIGL,0.0181743821488626,0.1523809523809524,0.47297297297297297,32,37,69,inter
5,RIGR,0.014258615519382116,0.15714285714285717,0.4646017699115044,35,28,63,inter
5,RIH,0.06698676266583521,0.2285714285714286,0.4772727272727273,30,72,102,inter
5,RIML,0.0386287629414081,0.20476190476190478,0.5060240963855421,69,36,105,inter
5,RIMR,0.031184863502726732,0.2,0.5097087378640777,66,52,118,inter
5,RIPL,0.0,0.05714285714285715,0.40618955512572535,49,0,49,inter
5,RIPR,0.0,0.05238095238095239,0.39923954372623577,40,0,40,inter
5,RIR,0.01141330570316569,0.1285714285714286,0.4430379746835443,23,42,65,inter
5,RIS,0.01771637704736925,0.12380952380952381,0.45751633986928103,12,46,58,modulatory
5,RIVL,0.005650029043813853,0.0761904761904762,0.4375,5,20,25,motor
5,RIVR,0.009623181265163556,0.09047619047619049,0.4449152542372881,10,22,32,motor
5,RMDDL,0.013874194361188048,0.14285714285714288,0.45951859956236324,77,34,111,motor
5,RMDDR,0.009001057475821195,0.1380952380952381,0.44967880085653106,66,28,94,motor
5,RMDL,0.020254155101448828,0.1619047619047619,0.47404063205417607,72,34,106,motor
5,RMDR,0.027104421717827384,0.15714285714285717,0.4772727272727273,44,43,87,motor
5,RMDVL,0.007875912529366993,0.14285714285714288,0.4656319290465632,70,39,109,motor
5,RMDVR,0.023791387418703607,0.17142857142857143,0.481651376146789,73,52,125,motor
5,RMED,0.00854330177798988,0.09523809523809525,0.445859872611465,16,25,41,motor
5,RMEL,0.002721103019091869,0.06190476190476191,0.379746835443038,23,19,42,motor
